"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Posts","Parametrized Tests","0","0","7","0","0"
"","Users","Email Validation","0","0","6","0","0"
"","Comments","Get Post Comments","0","0","1","0","0"
"","Users","Address Structure","0","0","2","0","0"
"","Comments","Comments Relationship","0","0","4","0","0"
"","Posts","Update Post","0","0","1","0","0"
"","Posts","Create Post","0","0","1","0","0"
"","Posts","Get All Posts","0","0","1","0","0"
"","Comments","Email Validation","0","0","2","0","0"
"","Posts","Get Post by ID","0","0","2","0","0"
"","Comments","Comments Content","0","0","2","0","0"
"","Comments","Comments Query","0","0","1","0","0"
"","Posts","Delete Post","0","0","1","0","0"
"","Users","Get User by ID","0","0","1","0","0"
"","Users","Get All Users","0","0","1","0","0"
"","Users","Company Information","0","0","1","0","0"
